Adobe After Effects 9.0 Keyframe Data

	Units Per Second	12
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Layer
Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	710	1705.5	0	
	1	713	1696.5	0	
	2	716.504	1668.02	0	
	3	729.5	1655.99	0	
	4	745.5	1617.02	0	
	5	757.488	1612.98	0	
	6	779.496	1586.01	0	
	7	780.492	1583	0	
	8	784.07	1550.46	0	
	9	815.004	1531.49	0	
	10	853.988	1506.48	0	
	11	865	1496.49	0	
	12	856.004	1488.51	0	
	13	859.004	1501.51	0	
	14	860.996	1507.49	0	
	15	866.027	1531.53	0	
	16	866.949	1536.46	0	
	17	864.82	1541.28	0	
	18	864.82	1541.28	0	
	19	866.949	1536.46	0	
	20	866.027	1531.53	0	
	21	860.996	1507.49	0	
	22	859.004	1501.51	0	
	23	856.004	1488.51	0	
	24	865	1496.49	0	
	25	853.988	1506.48	0	
	26	815.004	1531.49	0	
	27	784.07	1550.46	0	
	28	780.492	1583	0	
	29	777.902	1585.64	0	
	30	758.012	1612.51	0	
	31	745.961	1617.53	0	
	32	730.02	1656.49	0	
	33	719.992	1667.52	0	
	34	715.988	1695.52	0	
	35	712.988	1704.52	0	

End of Keyframe Data
