Adobe After Effects 9.0 Keyframe Data

	Units Per Second	12
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Layer
Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	2601	693.5	0	
	1	2604	684.5	0	
	2	2581.41	688.812	0	
	3	2562.5	690.035	0	
	4	2557.48	720.004	0	
	5	2536.52	721.035	0	
	6	2511.52	725.016	0	
	7	2484.5	728.012	0	
	8	2465.02	712.473	0	
	9	2455.05	730.516	0	
	10	2425.97	733.492	0	
	11	2413.95	737.527	0	
	12	2414.83	754.574	0	
	13	2427.04	789.445	0	
	14	2432.94	799.543	0	
	15	2439.97	820.477	0	
	16	2445.96	832.438	0	
	17	2447.99	835.551	0	
	18	2447.99	835.551	0	
	19	2445.96	832.438	0	
	20	2439.97	820.477	0	
	21	2432.94	799.543	0	
	22	2427.04	789.445	0	
	23	2414.83	754.574	0	
	24	2413.95	737.527	0	
	25	2425.97	733.492	0	
	26	2455.05	730.516	0	
	27	2465.02	712.473	0	
	28	2484.5	728.012	0	
	29	2512.97	725.512	0	
	30	2537.01	722.504	0	
	31	2556.98	720.52	0	
	32	2561.99	690.527	0	
	33	2580.43	688.137	0	
	34	2602.54	685.02	0	
	35	2599.54	694.02	0	

End of Keyframe Data
